Id,gender(0:female;1:male),nationality,ITQ,I_Comedy,I_Education,I_Sports,"P_Extraverted, enthusiastic","P_Critical, quarrelsome","P_Dependable, self-disciplined","P_Anxious, easily upset","P_Open to new experiences, complex","P_Reserved, quiet","P_Sympathetic, warm","P_Disorganized, careless","P_Clam, emotionally stable","P_Conventional, uncreative"
0,0,Chinese,86,3,4,2,4,1,6,4,5,1,6,3,3,4
1,1,Chinese,90,5,7,4,6,7,5,5,7,1,6,4,4,1
2,1,Chinese,85,5,1,7,6,4,6,3,7,2,6,5,3,5
3,1,Brazilian,86,3,6,3,5,4,4,4,6,3,6,3,5,3
4,1,Brazilian,62,5,6,2,5,7,5,6,6,6,7,5,4,4
5,1,Brazilian,78,1,7,6,5,4,5,5,5,4,5,4,3,3
6,1,Chinese,86,5,7,5,5,5,6,3,6,3,6,3,6,5
7,1,Chinese,92,5,6,4,6,5,5,7,6,5,6,5,5,4
8,0,Chinese,100,7,4,4,5,3,5,2,5,4,6,4,5,2
9,0,American,97,7,4,5,7,7,5,5,6,3,6,2,3,2
10,0,Dutch,82,3,5,1,6,4,4,1,6,5,6,5,4,1
11,1,Dutch,105,1,1,1,3,6,5,7,3,5,7,5,6,2
12,1,Dutch,79,4,6,1,3,6,6,6,5,7,3,4,5,4
13,1,Dutch,88,4,5,5,4,3,4,3,5,6,6,3,3,2
14,0,Chinese,87,5,4,3,4,6,4,4,5,6,5,4,6,2
15,0,Chinese,76,6,5,1,6,2,3,6,6,6,4,3,2,4
16,0,Chinese,81,5,4,1,4,4,5,2,2,4,5,3,6,4
17,1,Chinese,90,6,5,4,5,4,3,3,6,3,6,6,4,5
18,0,Chinese,103,7,4,2,3,5,5,3,3,6,4,3,2,2
19,0,Chinese,70,4,4,3,6,7,7,4,7,4,5,7,7,5
20,0,Chinese,76,6,6,1,3,1,7,5,7,7,6,1,6,1
21,1,Chinese,65,5,6,6,6,5,5,2,6,4,5,3,6,2
22,0,Taiwanese,88,3,7,1,7,4,7,4,7,1,6,2,5,2
23,1,Indian,64,4,6,3,3,2,6,2,7,6,6,1,5,2
24,0,Indian,82,7,7,7,7,2,6,1,7,7,7,2,7,2
25,1,Indian,101,7,5,7,7,6,6,3,7,2,6,4,6,2
26,1,Dutch,77,5,6,1,3,3,6,3,5,5,6,2,3,6
27,1,Chinese,50,3,2,7,4,4,5,3,4,4,5,1,5,3
28,0,Thai,70,1,6,3,5,1,6,1,3,6,6,1,5,6
29,0,Chinese,87,3,6,1,3,6,6,5,6,7,6,3,6,3
30,0,Chinese,79,7,5,1,2,4,5,3,5,5,2,3,6,4
31,0,Romanian,71,3,5,3,5,5,5,5,4,3,4,5,4,4
32,1,British,77,4,5,1,5,7,2,5,7,3,5,7,2,3
33,1,Indonesian,105,7,7,7,5,5,7,1,7,2,7,1,7,1
34,1,Chinese,59,5,3,2,5,6,6,5,6,5,5,3,6,2
35,0,Greek,82,7,6,3,6,4,3,5,6,2,7,6,3,3
36,1,Dutch,83,7,6,1,4,5,6,4,6,3,5,4,6,2
37,1,Chinese,86,7,5,7,6,6,4,2,5,3,7,2,5,5
38,0,Chinese,90,7,5,2,4,4,5,3,5,4,6,5,5,3
39,0,Dutch,71,3,5,1,6,2,6,2,7,2,6,2,5,2
40,1,Indian,81,6,7,5,5,4,6,2,7,5,2,1,6,4
41,1,Chinese,106,6,3,2,5,6,5,4,7,5,4,4,6,2
42,0,Canadian,70,5,5,1,6,5,3,4,7,2,5,4,3,1
43,0,Portuguese,53,7,5,1,6,4,6,4,7,2,7,6,6,1
44,0,Dutch,70,5,5,5,6,4,5,1,5,2,5,1,4,2
45,1,Chinese,93,6,4,7,6,6,6,6,6,2,6,2,5,2
46,0,Dutch,75,3,2,2,3,2,6,4,6,6,6,2,5,3
47,1,Chinese,79,4,3,3,3,3,4,6,4,5,4,4,4,3
48,0,Russian,88,6,6,2,6,6,5,3,6,2,5,2,4,1
49,1,Dutch,78,5,5,3,4,4,5,3,5,4,5,3,5,4